taxon_key	taxon_name	common_name	cla_code	ord_code	fam_code	gen_code	spe_code	effective_distance	habitat_diversity_index	estuaries	coral	front	sea_grass	sea_mount	others	slope	shelf	abyssal	inshore	offshore	max_depth	min_depth	lat_north	lat_south	found_in_fao_area_id	fao_limits	sl_max	intertidal	temperature	water_column_position	depth_comments	general_comments
601124	Anisotremus virginicus	Porkfish	6	60	327	1849	1124	66.6704981	0.8	0.5	0.75	0	0.5	0	0.5	0	0.5	0	0.5	0.5	20	2	32	-33	"{31,41}"	2	33.33524915	f		reef-associated		"FB or SLB Comments: Inhabits reefs and rocky bottoms. Feeds at night on mollusks, echinoderms, annelids, and crustaceans (Ref. 3798). Young pick parasites from the bodies of larger fishes (Ref. 5521). Young are popular aquarium fish (Ref. 7251). Marketed fresh (Ref. 3798). Has been reared in captivity (Ref. 35420)."
603966	Sebastes emphaeus	Puget Sound rockfish	6	59	573	2902	3966	49.99999985	0.6	0.5	0.75	0	0	0	0.5	0	0.5	0	0.5	0.5	366	0	60	38	{67}	1	14.328	f		reef-associated		"FB or SLB Comments: Inhabits reefs and rocky shorelines and found in loose congregations hovering above the bottom or resting among caves and crevices (Ref. 27436). Seeks shelter in areas of strong current (Ref. 2850). Viviparous (Ref. 34817). Flesh is tasty and flaky, but since it is rarely caught, it is seldom used as a food fish (Ref. 2850, 27436). May be used as bait for large rockfish, lingcod or cabezon (Ref. 27436)."
601147	Pomadasys crocro	Burro grunt	6	60	327	3076	1147	28.49178141	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.75	0.5	120				"{2,31,41}"	3	32.972752	f		demersal		"FB or SLB Comments: Inhabits rivers and creeks of low to high current velocity (Ref. 36880). Found along sandy shores and over mud bottoms in shallow water, quite common in brackish mangrove-lined lagoons. Often ascends rivers more than 100 miles from the sea. Feeds on crustaceans and small fishes. Marketed fresh (Ref. 3798)."
603344	Serranus baldwini	Lantern bass	6	60	289	5359	3344	49.99999985	0.6	0.5	0	0	0.5	0	0.5	0	0.5	0	0.5	0	80	0	25	-23	"{31,41}"	2	9.160794852	f		reef-associated		FB or SLB Comments: Inhabits rocky and weedy areas. Synchronously hermaphroditic. Feeds on caridean shrimp and small fish (Ref. 5521).
603070	Porichthys myriaster	Specklefin midshipman	6	46	189	5331	3070	28.66472042	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.75	0.5	126	0			{77}	1	43.146	t		demersal		"FB or SLB Comments: Inhabits rocky areas and soft bottom, common in bays. Ranges from the intertidal zone to 126 m depth (Ref. 9277). Usually rests on or buries itself in bottom. Can create a humming or grunting sound. More active during night time."
608078	Virididentex acromegalus	Bulldog dentex	6	60	330	6361	8078	28.89016843	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	60	40			{34}	1	44.43305135			benthopelagic		FB or SLB Comments: Inhabits rocky bottoms. Carnivorous (Ref. 3688).
605018	Scarus hoefleri	Guinean parrotfish	6	60	364	4784	5018	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	15	0			"{34,47}"	2	54.6	f		demersal		"FB or SLB Comments: Inhabits rocky coastal areas (Ref. 7360). A herbivorous species with specialized pharyngeal bones and muscles (Ref. 52194, 52195). Occurs in shallow water (Ref. 27000)."
603608	Holacanthus bermudensis	Angelfish	6	60	460	2304	3608	61.11111101	0.6	0.5	1	0	0	0	0.5	0	0.5	0	0.5	0.5	92	2	35	18	{31}	1	36.93883749	t		reef-associated		FB or SLB Comments: Inhabits rocky or coral reefs (Ref. 9710). Juveniles in channels and on inshore reefs (Ref. 9710). Feeds primarily on sponges (Ref. 9710). Small juveniles do well in aquariums once they begin to accept food.
659586	Sebastes zonatus		6	59	573	2902	59586	61.11111101	0.6	0.5	0.75	0	0	0	0.5	0	0	0	0.5	0	175	50			"{61,61}"	2	37			reef-associated		FB or SLB Comments: Inhabits rocky reefs (Ref. 42552).
603312	Pronotogrammus multifasciatus	Threadfin bass	6	60	289	6264	3312	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0	0.5	200	40			"{77,87}"	2	20.54913615	f		demersal		"FB or SLB Comments: Inhabits rough bottom, deep reefs. Feeds on small planktonic crustaceans (Ref. 2850)."
